ChannelName,SubscriptionType,SubscriptionName,QueryPath,TransportName,ContentFormat,AllowedSourceDomainComputers,AllowedIssuerCAList,AllowedSubjectList
Event Collector-Domain-Clients/Network and Internet,SourceInitiated,WEC_DOMAIN_CLIENTS_10_NETWORK,EventCategoriesBased\[Query] 10-Network.xml,HTTPS,Events,Domain Clients,,
Event Collector-Domain-Clients/Network and Internet,SourceInitiated,WEC_DOMAIN_CLIENTS_11_REMOTE_MANAGEMENT,EventCategoriesBased\[Query] 11-Remote management.xml,HTTPS,Events,Domain Clients,,
Event Collector-Domain-Clients/System,SourceInitiated,WEC_DOMAIN_CLIENTS_20_SYSTEM_ACTIVITY,EventCategoriesBased\[Query] 20-System activity.xml,HTTPS,Events,Domain Clients,,
Event Collector-Domain-Clients/Applications,SourceInitiated,WEC_DOMAIN_CLIENTS_21_SOFTWARE_AND_UPDATES,EventCategoriesBased\[Query] 21-Software & Updates.xml,HTTPS,Events,Domain Clients,,
Event Collector-Domain-Clients/Services,SourceInitiated,WEC_DOMAIN_CLIENTS_22_TASK_AND_SERVICE,EventCategoriesBased\[Query] 22-Task & Service.xml,HTTPS,Events,Domain Clients,,
Event Collector-Domain-Clients/Accounts,SourceInitiated,WEC_DOMAIN_CLIENTS_23_USER_AND_GROUP_MANAGEMENT,EventCategoriesBased\[Query] 23-User & Group management.xml,HTTPS,Events,Domain Clients,,
Event Collector-Domain-Clients/Update and Security,SourceInitiated,WEC_DOMAIN_CLIENTS_31_SYSTEM_SECURITY,EventCategoriesBased\[Query] 31-System security.xml,HTTPS,Events,Domain Clients,,
Event Collector-Domain-Clients/Devices,SourceInitiated,WEC_DOMAIN_CLIENTS_32_IMAGE_AND_EXTERNAL_DEVICE,EventCategoriesBased\[Query] 32-Image & external device.xml,HTTPS,Events,Domain Clients,,
Event Collector-Domain-Clients/Powershell,SourceInitiated,WEC_DOMAIN_CLIENTS_40_POWERSHELL,EventCategoriesBased\[Query] 40-Powershell.xml,HTTPS,Events,Domain Clients,,
Event Collector-Domain-Clients/Accounts,SourceInitiated,WEC_DOMAIN_CLIENTS_50_AUTHENTICATION,EventCategoriesBased\[Query] 50-Authentication.xml,HTTPS,Events,Domain Clients,,
Event Collector-Domain-Controllers/Network and Internet,SourceInitiated,WEC_DOMAIN_CONTROLLERS_10_NETWORK,EventCategoriesBased\[Query] 10-Network.xml,HTTPS,Events,Domain Controllers,,
Event Collector-Domain-Controllers/Network and Internet,SourceInitiated,WEC_DOMAIN_CONTROLLERS_11_REMOTE_MANAGEMENT,EventCategoriesBased\[Query] 11-Remote management.xml,HTTPS,Events,Domain Controllers,,
Event Collector-Domain-Controllers/System,SourceInitiated,WEC_DOMAIN_CONTROLLERS_20_SYSTEM_ACTIVITY,EventCategoriesBased\[Query] 20-System activity.xml,HTTPS,Events,Domain Controllers,,
Event Collector-Domain-Controllers/Applications,SourceInitiated,WEC_DOMAIN_CONTROLLERS_21_SOFTWARE_AND_UPDATES,EventCategoriesBased\[Query] 21-Software & Updates.xml,HTTPS,Events,Domain Controllers,,
Event Collector-Domain-Controllers/Services,SourceInitiated,WEC_DOMAIN_CONTROLLERS_22_TASK_AND_SERVICE,EventCategoriesBased\[Query] 22-Task & Service.xml,HTTPS,Events,Domain Controllers,,
Event Collector-Domain-Controllers/Accounts,SourceInitiated,WEC_DOMAIN_CONTROLLERS_23_USER_AND_GROUP_MANAGEMEN,EventCategoriesBased\[Query] 23-User & Group management.xml,HTTPS,Events,Domain Controllers,,
Event Collector-Domain-Controllers/Update and Security,SourceInitiated,WEC_DOMAIN_CONTROLLERS_31_SYSTEM_SECURITY,EventCategoriesBased\[Query] 31-System security.xml,HTTPS,Events,Domain Controllers,,
Event Collector-Domain-Controllers/Devices,SourceInitiated,WEC_DOMAIN_CONTROLLERS_32_IMAGE_AND_EXTERNAL_DEVICE,EventCategoriesBased\[Query] 32-Image & external device.xml,HTTPS,Events,Domain Controllers,,
Event Collector-Domain-Controllers/Powershell,SourceInitiated,WEC_DOMAIN_CONTROLLERS_40_POWERSHELL,EventCategoriesBased\[Query] 40-Powershell.xml,HTTPS,Events,Domain Controllers,,
Event Collector-Domain-Controllers/Accounts,SourceInitiated,WEC_DOMAIN_CONTROLLERS_50_AUTHENTICATION,EventCategoriesBased\[Query] 50-Authentication.xml,HTTPS,Events,Domain Controllers,,
Event Collector-Domain-Controllers/Services,SourceInitiated,WEC_DOMAIN_CONTROLLERS_ACTIVE_DIRECTORY,EventCategoriesBased\[Query] Active Directory.xml,HTTPS,Events,Domain Controllers,,
Event Collector-Domain-Member Servers/Network and Internet,SourceInitiated,WEC_DOMAIN_SERVERS_10_NETWORK,EventCategoriesBased\[Query] 10-Network.xml,HTTPS,Events,Member Servers,,
Event Collector-Domain-Member Servers/Network and Internet,SourceInitiated,WEC_DOMAIN_SERVERS_11_REMOTE_MANAGEMENT,EventCategoriesBased\[Query] 11-Remote management.xml,HTTPS,Events,Member Servers,,
Event Collector-Domain-Member Servers/System,SourceInitiated,WEC_DOMAIN_SERVERS_20_SYSTEM_ACTIVITY,EventCategoriesBased\[Query] 20-System activity.xml,HTTPS,Events,Member Servers,,
Event Collector-Domain-Member Servers/Applications,SourceInitiated,WEC_DOMAIN_SERVERS_21_SOFTWARE_AND_UPDATES,EventCategoriesBased\[Query] 21-Software & Updates.xml,HTTPS,Events,Member Servers,,
Event Collector-Domain-Member Servers/Services,SourceInitiated,WEC_DOMAIN_SERVERS_22_TASK_AND_SERVICE,EventCategoriesBased\[Query] 22-Task & Service.xml,HTTPS,Events,Member Servers,,
Event Collector-Domain-Member Servers/Accounts,SourceInitiated,WEC_DOMAIN_SERVERS_23_USER_AND_GROUP_MANAGEMEN,EventCategoriesBased\[Query] 23-User & Group management.xml,HTTPS,Events,Member Servers,,
Event Collector-Domain-Member Servers/Update and Security,SourceInitiated,WEC_DOMAIN_SERVERS_31_SYSTEM_SECURITY,EventCategoriesBased\[Query] 31-System security.xml,HTTPS,Events,Member Servers,,
Event Collector-Domain-Member Servers/Devices,SourceInitiated,WEC_DOMAIN_SERVERS_32_IMAGE_AND_EXTERNAL_DEVICE,EventCategoriesBased\[Query] 32-Image & external device.xml,HTTPS,Events,Member Servers,,
Event Collector-Domain-Member Servers/Powershell,SourceInitiated,WEC_DOMAIN_SERVERS_40_POWERSHELL,EventCategoriesBased\[Query] 40-Powershell.xml,HTTPS,Events,Member Servers,,
Event Collector-Domain-Member Servers/Accounts,SourceInitiated,WEC_DOMAIN_SERVERS_50_AUTHENTICATION,EventCategoriesBased\[Query] 50-Authentication.xml,HTTPS,Events,Member Servers,,
Event Collector-Domain-Member Servers/Services,SourceInitiated,WEC_DOMAIN_SERVERS_SERVER_ROLES,EventCategoriesBased\[Query] Server Roles.xml,HTTPS,Events,Member Servers,,
Event Collector-NonDomain-Clients/Network and Internet,SourceInitiated,WEC_NONDOMAIN_CLIENTS_10_NETWORK,EventCategoriesBased\[Query] 10-Network.xml,HTTPS,Events,,073F4797D54776167C9199B2C36EAA01F1502C3F,*.security.local
Event Collector-NonDomain-Clients/Network and Internet,SourceInitiated,WEC_NONDOMAIN_CLIENTS_11_REMOTE_MANAGEMENT,EventCategoriesBased\[Query] 11-Remote management.xml,HTTPS,Events,,073F4797D54776167C9199B2C36EAA01F1502C3F,*.security.local
Event Collector-NonDomain-Clients/System,SourceInitiated,WEC_NONDOMAIN_CLIENTS_20_SYSTEM_ACTIVITY,EventCategoriesBased\[Query] 20-System activity.xml,HTTPS,Events,,073F4797D54776167C9199B2C36EAA01F1502C3F,*.security.local
Event Collector-NonDomain-Clients/Applications,SourceInitiated,WEC_NONDOMAIN_CLIENTS_21_SOFTWARE_AND_UPDATES,EventCategoriesBased\[Query] 21-Software & Updates.xml,HTTPS,Events,,073F4797D54776167C9199B2C36EAA01F1502C3F,*.security.local
Event Collector-NonDomain-Clients/Services,SourceInitiated,WEC_NONDOMAIN_CLIENTS_22_TASK_AND_SERVICE,EventCategoriesBased\[Query] 22-Task & Service.xml,HTTPS,Events,,073F4797D54776167C9199B2C36EAA01F1502C3F,*.security.local
Event Collector-NonDomain-Clients/Accounts,SourceInitiated,WEC_NONDOMAIN_CLIENTS_23_USER_AND_GROUP_MANAGEMEN,EventCategoriesBased\[Query] 23-User & Group management.xml,HTTPS,Events,,073F4797D54776167C9199B2C36EAA01F1502C3F,*.security.local
